FLAME BOWERBIRD,1.0
FLAME TANAGER,0.8
FLAMINGO,1.0
FRIGATE,1.0
GAMBELS QUAIL,1.0
GANG GANG COCKATOO,1.0
GILA WOODPECKER,0.8
GILDED FLICKER,0.6
GLOSSY IBIS,0.8
GO AWAY BIRD,0.8
GOLD WING WARBLER,1.0
GOLDEN CHEEKED WARBLER,1.0
GOLDEN CHLOROPHONIA,1.0
GOLDEN EAGLE,1.0
GOLDEN PHEASANT,1.0
GOLDEN PIPIT,1.0
GOULDIAN FINCH,1.0
GRAY CATBIRD,1.0
GRAY KINGBIRD,1.0
GRAY PARTRIDGE,1.0
GREAT GRAY OWL,1.0
GREAT JACAMAR,1.0
GREAT KISKADEE,1.0
GREAT POTOO,0.8
GREATOR SAGE GROUSE,1.0
GREEN BROADBILL,1.0
GREEN JAY,1.0
GREEN MAGPIE,1.0
GREY PLOVER,1.0
GROVED BILLED ANI,1.0
GUINEA TURACO,1.0
GUINEAFOWL,1.0
GURNEYS PITTA,1.0
GYRFALCON,0.6
HAMMERKOP,0.8
HARLEQUIN DUCK,1.0
HARLEQUIN QUAIL,0.8
HARPY EAGLE,0.8
HAWAIIAN GOOSE,1.0
HAWFINCH,1.0
HELMET VANGA,1.0
HEPATIC TANAGER,1.0
HIMALAYAN BLUETAIL,1.0
HIMALAYAN MONAL,1.0
HOATZIN,1.0
HOODED MERGANSER,0.8
HOOPOES,1.0
HORNBILL,0.8
HORNED GUAN,1.0
HORNED LARK,1.0
HORNED SUNGEM,1.0
HOUSE FINCH,1.0
HOUSE SPARROW,1.0
HYACINTH MACAW,1.0
IBERIAN MAGPIE,0.8
IBISBILL,1.0
IMPERIAL SHAQ,0.4
INCA TERN,1.0
INDIAN BUSTARD,1.0
INDIAN PITTA,1.0
INDIAN ROLLER,0.8
INDIGO BUNTING,1.0
INLAND DOTTEREL,0.8
IVORY GULL,0.8
IWI,1.0
JABIRU,1.0
JACK SNIPE,1.0
JANDAYA PARAKEET,1.0
JAPANESE ROBIN,1.0
JAVA SPARROW,1.0
KAGU,1.0
KAKAPO,1.0
KILLDEAR,0.8
KING VULTURE,1.0
KIWI,1.0
KOOKABURRA,0.8
LARK BUNTING,1.0
LAZULI BUNTING,0.8
LESSER ADJUTANT,0.8
LILAC ROLLER,1.0
LITTLE AUK,0.8
LONG-EARED OWL,1.0
MAGPIE GOOSE,1.0
MALABAR HORNBILL,1.0
MALACHITE KINGFISHER,1.0
MALAGASY WHITE EYE,1.0
MALEO,1.0
MALLARD DUCK,0.8
MANDRIN DUCK,1.0
MANGROVE CUCKOO,1.0
MARABOU STORK,1.0
MASKED BOOBY,1.0
MASKED LAPWING,1.0
MIKADO  PHEASANT,0.8
MOURNING DOVE,1.0
MYNA,1.0
NICOBAR PIGEON,1.0
NOISY FRIARBIRD,1.0
NORTHERN CARDINAL,0.8
NORTHERN FLICKER,1.0
NORTHERN FULMAR,1.0
NORTHERN GANNET,1.0
NORTHERN GOSHAWK,0.6
NORTHERN JACANA,1.0
NORTHERN MOCKINGBIRD,1.0
NORTHERN PARULA,1.0
NORTHERN RED BISHOP,1.0
NORTHERN SHOVELER,1.0
OCELLATED TURKEY,0.8
OKINAWA RAIL,0.6
ORANGE BRESTED BUNTING,1.0
ORIENTAL BAY OWL,0.8
OSPREY,1.0
OSTRICH,1.0
OVENBIRD,1.0
OYSTER CATCHER,1.0
PAINTED BUNTING,1.0
PALILA,1.0
PARADISE TANAGER,1.0
PARAKETT  AKULET,1.0
PARUS MAJOR,1.0
PATAGONIAN SIERRA FINCH,1.0
PEACOCK,0.8
PELICAN,1.0
PEREGRINE FALCON,1.0
PHILIPPINE EAGLE,0.8
PINK ROBIN,1.0
POMARINE JAEGER,0.4
PUFFIN,1.0
PURPLE FINCH,0.8
PURPLE GALLINULE,1.0
PURPLE MARTIN,0.8
PURPLE SWAMPHEN,1.0
PYGMY KINGFISHER,1.0
QUETZAL,1.0
RAINBOW LORIKEET,1.0
RAZORBILL,1.0
RED BEARDED BEE EATER,1.0
RED BELLIED PITTA,1.0
RED BROWED FINCH,1.0
RED FACED CORMORANT,1.0
RED FACED WARBLER,1.0
RED FODY,1.0
RED HEADED DUCK,1.0
RED HEADED WOODPECKER,1.0
RED HONEY CREEPER,1.0
RED NAPED TROGON,1.0
RED TAILED HAWK,0.8
RED TAILED THRUSH,1.0
RED WINGED BLACKBIRD,1.0
RED WISKERED BULBUL,1.0
REGENT BOWERBIRD,1.0
RING-NECKED PHEASANT,1.0
ROADRUNNER,0.8
ROBIN,1.0
ROCK DOVE,1.0
ROSY FACED LOVEBIRD,1.0
ROUGH LEG BUZZARD,0.8
ROYAL FLYCATCHER,1.0
RUBY THROATED HUMMINGBIRD,0.6
