FLAME BOWERBIRD,1.0
FLAME TANAGER,0.8
FLAMINGO,1.0
FRIGATE,0.8
GAMBELS QUAIL,0.8
GANG GANG COCKATOO,0.8
GILA WOODPECKER,1.0
GILDED FLICKER,0.4
GLOSSY IBIS,0.8
GO AWAY BIRD,0.6
GOLD WING WARBLER,1.0
GOLDEN CHEEKED WARBLER,1.0
GOLDEN CHLOROPHONIA,1.0
GOLDEN EAGLE,0.4
GOLDEN PHEASANT,0.8
GOLDEN PIPIT,1.0
GOULDIAN FINCH,1.0
GRAY CATBIRD,1.0
GRAY KINGBIRD,1.0
GRAY PARTRIDGE,0.6
GREAT GRAY OWL,0.8
GREAT JACAMAR,1.0
GREAT KISKADEE,0.8
GREAT POTOO,0.6
GREATOR SAGE GROUSE,1.0
GREEN BROADBILL,1.0
GREEN JAY,0.8
GREEN MAGPIE,1.0
GREY PLOVER,1.0
GROVED BILLED ANI,0.6
GUINEA TURACO,0.8
GUINEAFOWL,1.0
GURNEYS PITTA,1.0
GYRFALCON,1.0
HAMMERKOP,0.8
HARLEQUIN DUCK,1.0
HARLEQUIN QUAIL,0.6
HARPY EAGLE,0.8
HAWAIIAN GOOSE,0.8
HAWFINCH,1.0
HELMET VANGA,0.8
HEPATIC TANAGER,1.0
HIMALAYAN BLUETAIL,1.0
HIMALAYAN MONAL,1.0
HOATZIN,0.6
HOODED MERGANSER,1.0
HOOPOES,0.8
HORNBILL,0.8
HORNED GUAN,1.0
HORNED LARK,1.0
HORNED SUNGEM,1.0
HOUSE FINCH,1.0
HOUSE SPARROW,1.0
HYACINTH MACAW,1.0
IBERIAN MAGPIE,1.0
IBISBILL,1.0
IMPERIAL SHAQ,0.4
INCA TERN,1.0
INDIAN BUSTARD,0.6
INDIAN PITTA,1.0
INDIAN ROLLER,0.8
INDIGO BUNTING,0.8
INLAND DOTTEREL,0.8
IVORY GULL,0.8
IWI,0.8
JABIRU,1.0
JACK SNIPE,0.8
JANDAYA PARAKEET,1.0
JAPANESE ROBIN,1.0
JAVA SPARROW,1.0
KAGU,0.6
KAKAPO,1.0
KILLDEAR,0.6
KING VULTURE,1.0
KIWI,0.6
KOOKABURRA,0.6
LARK BUNTING,1.0
LAZULI BUNTING,1.0
LESSER ADJUTANT,0.6
LILAC ROLLER,1.0
LITTLE AUK,0.8
LONG-EARED OWL,0.8
MAGPIE GOOSE,1.0
MALABAR HORNBILL,0.8
MALACHITE KINGFISHER,1.0
MALAGASY WHITE EYE,0.8
MALEO,1.0
MALLARD DUCK,1.0
MANDRIN DUCK,1.0
MANGROVE CUCKOO,1.0
MARABOU STORK,0.8
MASKED BOOBY,1.0
MASKED LAPWING,1.0
MIKADO  PHEASANT,0.8
MOURNING DOVE,1.0
MYNA,1.0
NICOBAR PIGEON,1.0
NOISY FRIARBIRD,0.6
NORTHERN CARDINAL,0.8
NORTHERN FLICKER,1.0
NORTHERN FULMAR,0.6
NORTHERN GANNET,0.8
NORTHERN GOSHAWK,0.6
NORTHERN JACANA,1.0
NORTHERN MOCKINGBIRD,0.6
NORTHERN PARULA,1.0
NORTHERN RED BISHOP,1.0
NORTHERN SHOVELER,1.0
OCELLATED TURKEY,0.8
OKINAWA RAIL,1.0
ORANGE BRESTED BUNTING,1.0
ORIENTAL BAY OWL,1.0
OSPREY,0.6
OSTRICH,1.0
OVENBIRD,0.8
OYSTER CATCHER,1.0
PAINTED BUNTING,1.0
PALILA,1.0
PARADISE TANAGER,1.0
PARAKETT  AKULET,0.8
PARUS MAJOR,1.0
PATAGONIAN SIERRA FINCH,1.0
PEACOCK,0.8
PELICAN,0.6
PEREGRINE FALCON,1.0
PHILIPPINE EAGLE,0.8
PINK ROBIN,1.0
POMARINE JAEGER,0.4
PUFFIN,1.0
PURPLE FINCH,0.8
PURPLE GALLINULE,0.8
PURPLE MARTIN,1.0
PURPLE SWAMPHEN,1.0
PYGMY KINGFISHER,0.8
QUETZAL,0.8
RAINBOW LORIKEET,1.0
RAZORBILL,0.8
RED BEARDED BEE EATER,1.0
RED BELLIED PITTA,1.0
RED BROWED FINCH,1.0
RED FACED CORMORANT,0.8
RED FACED WARBLER,1.0
RED FODY,1.0
RED HEADED DUCK,1.0
RED HEADED WOODPECKER,1.0
RED HONEY CREEPER,1.0
RED NAPED TROGON,1.0
RED TAILED HAWK,1.0
RED TAILED THRUSH,0.8
RED WINGED BLACKBIRD,0.8
RED WISKERED BULBUL,1.0
REGENT BOWERBIRD,1.0
RING-NECKED PHEASANT,1.0
ROADRUNNER,1.0
ROBIN,1.0
ROCK DOVE,1.0
ROSY FACED LOVEBIRD,1.0
ROUGH LEG BUZZARD,0.8
ROYAL FLYCATCHER,1.0
RUBY THROATED HUMMINGBIRD,0.8
