Epoch,Train Time,Avg Train Loss,Avg Val Loss,Train Acc@1,Train Acc@5,Val Acc@1,Val Acc@5
1,165.74740600585938,5.986116162692436,5.991634823973217,0.0038,0.01781,0.0025,0.0125
2,108.37658095359802,5.978748017686204,5.993880007238615,0.00469,0.02093,0.0025,0.0125
3,108.17264032363892,5.983436856342955,5.989550144662933,0.00394,0.01913,0.0025,0.014
4,108.3294370174408,5.9773849133520445,6.027930714071743,0.00433,0.01999,0.003,0.017
5,110.74586129188538,5.8137971586963975,5.963330113082996,0.00709,0.03466,0.0075,0.0355
6,111.19233679771423,5.655814002169688,5.746309028021873,0.01146,0.05443,0.0075,0.028
7,111.19738745689392,5.380681953753212,5.591152267776327,0.02165,0.08831,0.02,0.0995
8,111.70909380912781,5.059590857435443,4.879289584938393,0.04054,0.1441,0.049,0.1805
9,111.32364630699158,4.783757352393109,4.761893463073417,0.06935,0.20872,0.055,0.215
10,109.36757230758667,4.490333869570766,4.277669135735316,0.105,0.27809,0.1025,0.306
11,115.41234397888184,4.194565565046963,3.8851716291928677,0.152,0.34815,0.177,0.406
12,112.18724274635315,3.8421043037329783,3.530121718526,0.20318,0.42613,0.2185,0.493
13,112.96122312545776,3.480934592569405,3.5311490658186235,0.26392,0.50034,0.2495,0.4965
14,113.14795398712158,3.126971663105423,2.8908137267274014,0.32871,0.57378,0.366,0.626
15,112.48793125152588,2.8100545986553414,2.4289842757105267,0.38422,0.63193,0.43,0.7155
16,114.18214750289917,2.507687779176235,2.1929121583055675,0.44177,0.68584,0.4895,0.738
17,114.34166622161865,2.2472280069450696,2.379843507079549,0.48822,0.72809,0.493,0.7435
18,110.65709662437439,2.0357183075141823,2.008853378901815,0.53216,0.76144,0.546,0.803
19,110.25808644294739,1.8663064185953813,1.4715699131783455,0.56631,0.78795,0.641,0.85
20,110.2171618938446,1.716191591630579,1.8113473474994823,0.59737,0.80962,0.576,0.834
21,112.19850277900696,1.5814984686936016,1.6828046945636228,0.62388,0.82957,0.589,0.828
22,112.48290729522705,1.4725401500613486,1.3068470236334426,0.64679,0.84519,0.682,0.8805
23,112.89237642288208,1.3732264223154511,1.029413106793545,0.66728,0.85973,0.739,0.9105
24,113.54176878929138,1.2887152484988773,1.2762099887947378,0.68439,0.87283,0.686,0.8755
25,111.65750908851624,1.2200736494970565,1.1970419395629066,0.6986,0.88063,0.707,0.891
26,111.37841296195984,1.1539726869830853,0.9262853417450312,0.7146,0.89015,0.765,0.925
27,112.69365072250366,1.087142681986897,1.7440632431750485,0.72775,0.89801,0.5945,0.8495
28,108.98780369758606,1.0531034503615828,0.8652502048436007,0.73808,0.90298,0.782,0.93
29,112.31325101852417,0.9878127984583438,1.3294027476567127,0.74853,0.91277,0.677,0.8845
30,109.5346908569336,0.9468913665083081,1.07029629923027,0.75897,0.91599,0.7465,0.916
31,109.43303608894348,0.902256226715462,0.8206928211629824,0.7681,0.9236,0.797,0.938
32,110.32929611206055,0.868878669164566,1.1703562485771364,0.77608,0.92721,0.734,0.9035
33,109.7430624961853,0.8329555726721485,0.8138638177795415,0.78338,0.93059,0.8055,0.9415
34,109.47854828834534,0.7953796963020939,1.085396017069971,0.79097,0.9354,0.7405,0.922
35,109.37024092674255,0.7793341696285392,1.0235078839053222,0.79573,0.93817,0.761,0.9235
36,109.16255331039429,0.7417010085246171,0.8420111307536908,0.80397,0.94185,0.7945,0.9385
37,109.35590767860413,0.7149625509537122,0.9534796909516711,0.81018,0.9465,0.7565,0.9255
38,109.60153865814209,0.6938986484121644,0.729773557386137,0.81402,0.94793,0.81,0.9495
39,109.49988341331482,0.6709139358073878,0.8600701245523223,0.8213,0.95071,0.7955,0.94
40,109.58887434005737,0.6504785346490468,0.7722046757880369,0.8232,0.95395,0.811,0.9405
41,109.58115243911743,0.6327761914967903,0.8201574835184967,0.82818,0.95549,0.8115,0.9385
42,109.54457497596741,0.607735889334644,1.4135981810534701,0.83274,0.95866,0.687,0.892
43,109.37252306938171,0.5916111817876395,0.7268864508408648,0.83673,0.95914,0.842,0.9545
44,109.49605679512024,0.5749900380945536,0.9991989329045693,0.8419,0.96143,0.793,0.9255
45,109.53481411933899,0.5560402507588256,0.8044179401195962,0.84598,0.96436,0.8075,0.9405
46,109.561678647995,0.5436114970803582,1.398660419062684,0.84942,0.96629,0.6855,0.8895
47,109.36205840110779,0.5209208438855495,0.6489787464172481,0.85523,0.96689,0.844,0.956
48,109.37619304656982,0.51322215569259,0.8834953272020952,0.8586,0.96838,0.8,0.9405
49,110.37683582305908,0.4913915711821904,1.3129343340938195,0.86264,0.9697,0.703,0.9015
50,109.36158227920532,0.4846824214647723,1.3623397938110442,0.86482,0.97143,0.7335,0.9095
