Epoch,Train Time,Avg Train Loss,Avg Val Loss,Train Acc@1,Train Acc@5,Val Acc@1,Val Acc@5
1,168.93369483947754,5.718129336945447,5.370386475844989,0.01005,0.04179,0.017,0.0725
2,115.38659071922302,4.861334699544691,4.289451389758301,0.05568,0.17892,0.09,0.282
3,116.4319818019867,3.9717664959431556,3.5335502271884165,0.147,0.37597,0.202,0.487
4,116.10146617889404,3.317643179510775,2.9950944702418165,0.25688,0.5309,0.288,0.612
5,116.82286334037781,2.774183072961059,2.468841575591507,0.36273,0.64296,0.399,0.718
6,116.46569037437439,2.317528609680913,2.0319841789952036,0.45564,0.72618,0.5015,0.791
7,116.56779289245605,1.9515624413456125,1.676749975317805,0.53573,0.78657,0.576,0.838
8,116.94282484054565,1.6768666595593553,1.4720784472842101,0.59331,0.82861,0.6405,0.872
9,116.58958554267883,1.4602888501621292,1.2642794525477619,0.64037,0.86074,0.678,0.899
10,116.85621929168701,1.2820547731040788,1.126831034186479,0.68219,0.88362,0.7165,0.9145
11,116.66924953460693,1.1466584544677918,1.0331020127188013,0.71422,0.90046,0.7345,0.9175
12,116.33954334259033,1.0309263739225913,0.9769989757295128,0.74104,0.91411,0.75,0.9275
13,117.62423920631409,0.9339008005832279,0.864931368741978,0.76281,0.92651,0.7775,0.9385
14,116.76795315742493,0.8521210042437729,0.8190570092229748,0.78256,0.93411,0.7825,0.9465
15,118.2277934551239,0.7755066333515475,0.7378616884467113,0.80092,0.94334,0.7985,0.953
16,117.17520928382874,0.7187144356780237,0.7112106669848784,0.81402,0.94874,0.8135,0.958
17,117.93701434135437,0.647673011890662,0.6768382582499328,0.83265,0.9561,0.8215,0.954
18,117.21393322944641,0.6091080657762006,0.6401356935953839,0.84125,0.96003,0.832,0.9585
19,116.64216804504395,0.5617968781086957,0.6119682857636812,0.85338,0.96525,0.84,0.964
20,113.90870523452759,0.5216948242630901,0.6112507419992786,0.86245,0.96989,0.8225,0.9675
21,124.30246472358704,0.48846886092554853,0.5716025037448411,0.87037,0.97231,0.8405,0.965
22,119.94693613052368,0.45129439236796165,0.4934865596241963,0.88201,0.97541,0.866,0.974
23,120.41861057281494,0.4208440386587452,0.5786928275597835,0.88945,0.97815,0.847,0.9625
24,121.92301297187805,0.39564516266337907,0.5783969762898439,0.89383,0.98065,0.8485,0.963
25,121.64821434020996,0.3609845306045852,0.5304212283523447,0.90363,0.98344,0.856,0.9665
26,122.2955572605133,0.3380178437413847,0.5020414970020974,0.9099,0.98544,0.862,0.9715
27,123.58440804481506,0.3192016141811051,0.5230746893223577,0.91509,0.98662,0.8565,0.9685
28,121.543039560318,0.2951791468701329,0.4749687309458222,0.92117,0.98841,0.8715,0.9745
29,121.5420548915863,0.27756774669968926,0.4719681762523108,0.92567,0.98979,0.8745,0.9725
30,122.7760169506073,0.2650793879379439,0.46979181827435046,0.92945,0.98995,0.8675,0.977
31,121.25376868247986,0.2475953209409065,0.4399944688178504,0.93387,0.99132,0.878,0.976
32,121.17601370811462,0.22919238488652904,0.43035594542568584,0.93929,0.9925,0.892,0.9765
33,120.84760522842407,0.2125283227744592,0.44303592712555695,0.94346,0.99359,0.8775,0.976
34,116.69083547592163,0.20093335003714602,0.4361472128293824,0.94768,0.99426,0.886,0.9715
35,116.63586115837097,0.19278112549283674,0.4468401210792211,0.94821,0.99484,0.879,0.977
36,117.60007500648499,0.18524891560503476,0.5174504907016971,0.94989,0.99538,0.868,0.967
37,116.10716462135315,0.1773744165219699,0.40099417894184025,0.95271,0.9957,0.887,0.9805
38,117.60127520561218,0.16791539878512182,0.45904226192044445,0.95569,0.99546,0.8825,0.975
39,117.38568353652954,0.15714465428458105,0.4063809214226236,0.95891,0.99635,0.893,0.9765
40,119.68669176101685,0.147844061552524,0.404700922703405,0.96177,0.99666,0.8905,0.9775
41,116.59925675392151,0.13941176654226448,0.3999490344822353,0.96383,0.99707,0.8965,0.9755
42,116.52119326591492,0.13431476263421002,0.4703550814628794,0.96539,0.99724,0.8735,0.977
43,117.42084407806396,0.13048319517038662,0.3935773428674174,0.96614,0.99712,0.898,0.979
44,116.34973454475403,0.12365209444458633,0.3811660875976803,0.96832,0.99699,0.8955,0.9775
45,116.69291734695435,0.1184138809000801,0.40738335338950776,0.9696,0.9976,0.89,0.979
46,117.39699077606201,0.11869737076826187,0.4247129122243766,0.97046,0.99705,0.884,0.9775
47,116.96940803527832,0.1115918099858907,0.41825377377830797,0.97106,0.99757,0.885,0.9745
48,117.15219759941101,0.10719621316302295,0.40123809237240454,0.9727,0.99782,0.8915,0.9785
49,117.18197321891785,0.10393535080557105,0.3997705472498694,0.9734,0.99801,0.9005,0.979
50,116.94995379447937,0.09974900941642083,0.4167536492698863,0.97515,0.99806,0.8915,0.9725
